#Insert size (bp)	insert size
523.0	1167.0
524.0	1287.0
525.0	1166.0
526.0	1206.0
527.0	1126.0
528.0	1241.0
529.0	1105.0
530.0	1154.0
531.0	1148.0
532.0	1066.0
533.0	1018.0
534.0	1034.0
535.0	1144.0
536.0	1034.0
537.0	1176.0
538.0	1032.0
539.0	1095.0
540.0	1049.0
541.0	967.0
542.0	948.0
543.0	991.0
544.0	1012.0
545.0	917.0
546.0	1046.0
547.0	957.0
548.0	946.0
549.0	953.0
550.0	992.0
551.0	893.0
552.0	897.0
553.0	937.0
554.0	888.0
555.0	880.0
556.0	855.0
557.0	877.0
558.0	868.0
559.0	906.0
560.0	828.0
561.0	837.0
562.0	878.0
563.0	849.0
564.0	798.0
565.0	776.0
566.0	776.0
567.0	762.0
568.0	774.0
569.0	771.0
570.0	783.0
571.0	773.0
572.0	740.0
573.0	781.0
574.0	766.0
575.0	739.0
576.0	748.0
577.0	742.0
578.0	696.0
579.0	782.0
580.0	658.0
581.0	683.0
582.0	730.0
583.0	685.0
584.0	752.0
585.0	649.0
586.0	689.0
587.0	714.0
588.0	690.0
589.0	740.0
590.0	684.0
591.0	724.0
592.0	677.0
593.0	707.0
594.0	662.0
595.0	644.0
596.0	656.0
597.0	623.0
598.0	653.0
599.0	588.0
600.0	598.0
601.0	629.0
602.0	668.0
603.0	641.0
604.0	565.0
605.0	645.0
606.0	560.0
607.0	587.0
608.0	604.0
609.0	628.0
610.0	556.0
611.0	612.0
612.0	582.0
613.0	520.0
614.0	536.0
615.0	519.0
616.0	529.0
617.0	550.0
618.0	528.0
619.0	527.0
620.0	522.0
621.0	553.0
622.0	538.0
623.0	532.0
624.0	593.0
625.0	564.0
626.0	475.0
627.0	576.0
628.0	499.0
629.0	499.0
630.0	488.0
631.0	491.0
632.0	507.0
633.0	508.0
634.0	498.0
635.0	554.0
636.0	492.0
637.0	489.0
638.0	509.0
639.0	569.0
640.0	502.0
641.0	475.0
642.0	511.0
643.0	490.0
644.0	491.0
645.0	550.0
646.0	491.0
647.0	459.0
648.0	492.0
649.0	503.0
650.0	452.0
651.0	506.0
652.0	517.0
653.0	518.0
654.0	453.0
655.0	522.0
656.0	431.0
657.0	477.0
658.0	483.0
659.0	520.0
660.0	445.0
661.0	482.0
662.0	395.0
663.0	494.0
664.0	441.0
665.0	487.0
666.0	508.0
667.0	491.0
668.0	484.0
669.0	534.0
670.0	424.0
671.0	449.0
672.0	437.0
673.0	498.0
674.0	465.0
675.0	494.0
676.0	438.0
677.0	445.0
678.0	490.0
679.0	414.0
680.0	485.0
681.0	466.0
682.0	451.0
683.0	416.0
684.0	431.0
685.0	396.0
686.0	451.0
687.0	384.0
688.0	427.0
