#Position (bp)	Coverage	Std
1.873934745E8	220.19931062735736	106.96497313353855
1.883720305E8	261.2581808011436	145.63973753917188
1.893505865E8	336.06294630768343	351.799479299265
1.903291425E8	911.8697379316519	1156.9591976488455
1.913076985E8	309.66199401218756	202.3133411205815
1.922862545E8	502.90851130503836	1237.4119006872045
1.932648105E8	216.23489842208917	126.87493092489262
1.942433665E8	215.96612220422907	454.28211274022505
1.952219225E8	344.46907654404896	319.98618535124706
1.962004785E8	481.3727982232932	403.09600621821124
1.971790345E8	292.65161496783304	1065.7216560027687
1.981575905E8	377.78767386022986	269.6137726447897
1.991361465E8	291.9324472964914	321.968730316533
2.001147025E8	331.6497597530707	206.00423861226605
2.010932585E8	383.77325994872274	184.50430696796468
2.020718145E8	1689.7960690659052	1313.2715946492044
2.030503705E8	274.56055767315684	226.16913609248925
2.040289265E8	398.7054150319661	999.5591605856101
2.050074825E8	232.7315279872757	183.34729372871237
2.059860385E8	299.44600484165176	205.97635604443272
2.069645945E8	327.4556178511444	438.8397093734507
2.079431505E8	281.7909544233095	1263.5401179821583
2.089217065E8	215.3257671325575	143.09830860049024
2.099002625E8	889.2947481537013	102.60217704917513
2.108788185E8	395.8483385748068	141.72380227469694
2.118573745E8	403.09310040621364	305.82903049337745
2.128359305E8	183.5399887725731	116.36186899592005
2.138144865E8	356.4868793836572	155.6597223393401
2.147930425E8	467.8259494340869	376.18906424748957
2.157715985E8	235.1382624538118	437.8064263056389
2.167501545E8	268.2462605151289	192.03284368387426
2.177287105E8	261.03908447447594	181.97434117249523
2.187072665E8	245.30338153106558	579.2527931722414
2.196858225E8	254.14299613086644	390.49180952786213
2.206643785E8	328.21015007818687	86.1989217695062
2.216429345E8	369.6473707648165	169.00954497186544
2.226214905E8	436.1095716686218	1190.034391077912
2.236000465E8	300.80419483630556	535.88174716392
2.242797555E8	669.318746295516	316.56116811902626
2.247690335E8	714.1160941542734	101.64300876629305
2.255571585E8	545.8155423209977	330.49613519634806
2.265357145E8	212.52237525787316	710.1788113022108
2.275142705E8	1459.9129432489153	100.21310388254373
2.284928265E8	181.95034772107508	108.98267858434448
2.294713825E8	420.52127933778246	435.4497561116025
2.304499385E8	261.0570369464385	88.326469691605
2.314284945E8	317.97320061780187	736.3339704979302
2.324070505E8	236.77515828856485	558.0210662287345
2.333856065E8	280.7474616874741	230.92211275710127
2.343641625E8	171.00958891354614	159.56824553058087
2.353427185E8	274.3052857420242	918.7676932235055
2.363212745E8	261.05718826347874	196.24099976841708
