"","INT_1","INT_2","INT_3","INT_4","LIV_1","LIV_2","LIV_3","LIV_4"
"Smp_316270",2.20221402564359,1.28538694554202,1.28538694554202,2.27197690098691,2.34194128736319,2.51421529061835,1.28538694554202,2.47280567850169
"Smp_316320",6.36050474585696,6.6303969793889,5.97273636219685,6.15283809721098,6.36998411789054,5.79366695556267,6.03490655478418,6.02968966102581
"Smp_316570",4.58306219834685,3.72939495041365,3.44356418992518,3.16209271194846,3.0453781817415,2.69130365696115,3.81243532329849,3.24616570749668
"Smp_316660",2.20221402564359,1.28538694554202,2.51228725895802,2.65586818214325,3.28267082551353,1.28538694554202,1.28538694554202,2.92309289979983
"Smp_316680",4.75758588318814,4.74115136772865,4.54454680913476,4.3206884637885,4.29326166196833,4.58692800935744,1.28538694554202,4.67814840512283
"Smp_316690",4.10895891555004,3.5524176748125,3.56811464106113,4.40495115438054,3.28267082551353,4.33845663332579,2.85900572777518,3.5784485309448
"Smp_316700",1.28538694554202,1.28538694554202,2.97501388153427,2.27197690098691,1.28538694554202,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_316710",3.76551026944911,3.88580163872985,2.97501388153427,3.26120696887742,3.94710549549953,3.9786996953879,3.42208266540914,3.84380479543345
"Smp_317420",3.03991283982492,2.80069977410151,2.97501388153427,2.27197690098691,2.74954660471989,2.29838847545391,1.28538694554202,2.92309289979983
"Smp_317470",1.93904056942926,1.28538694554202,2.51228725895802,2.65586818214325,2.74954660471989,2.51421529061835,1.28538694554202,2.47280567850169
"Smp_317530",2.56185896911196,4.02612156412284,6.2640986848486,5.98731022968264,5.17578646574327,6.12702535520752,5.06563755367551,5.30946450903236
"Smp_317640",1.28538694554202,2.80069977410151,2.51228725895802,2.48273031570476,1.28538694554202,2.51421529061835,1.28538694554202,1.98362372481818
"Smp_317660",2.56185896911196,1.28538694554202,3.30584653389383,2.48273031570476,1.28538694554202,2.00888757746702,1.28538694554202,2.2636584893904
"Smp_317720",2.39937525356049,3.34801934249986,2.97501388153427,3.26120696887742,3.0453781817415,3.9786996953879,1.28538694554202,2.79250380900478
"Smp_317730",1.28538694554202,2.80069977410151,1.28538694554202,2.48273031570476,1.28538694554202,3.20784105965571,1.28538694554202,1.98362372481818
"Smp_317780",3.03991283982492,2.3803414435335,2.51228725895802,2.65586818214325,2.34194128736319,3.30875034541822,1.28538694554202,3.04056625385644
"Smp_317790",3.38019308730641,1.28538694554202,3.56811464106113,2.80470888550687,4.48398398888281,3.30875034541822,1.28538694554202,3.3375723213198
"Smp_318260",2.20221402564359,2.80069977410151,3.30584653389383,2.27197690098691,1.28538694554202,1.28538694554202,1.28538694554202,1.98362372481818
"Smp_318890",2.70194139326678,2.80069977410151,3.30584653389383,2.27197690098691,2.74954660471989,3.85600163107832,1.28538694554202,2.47280567850169
"Smp_318900",2.93780588926052,2.80069977410151,3.15144546392988,2.48273031570476,2.74954660471989,4.03616845403456,1.28538694554202,1.98362372481818
"Smp_318920",2.93780588926052,2.3803414435335,2.97501388153427,2.48273031570476,2.74954660471989,3.9786996953879,1.28538694554202,1.98362372481818
"Smp_319050",2.20221402564359,1.28538694554202,2.97501388153427,2.65586818214325,1.28538694554202,1.28538694554202,1.28538694554202,2.644689809044
"Smp_319100",2.56185896911196,3.88580163872985,2.97501388153427,3.26120696887742,2.74954660471989,2.84337247017249,3.42208266540914,2.2636584893904
"Smp_319220",2.20221402564359,2.80069977410151,2.97501388153427,2.65586818214325,2.74954660471989,1.28538694554202,1.28538694554202,2.2636584893904
"Smp_319230",1.93904056942926,2.3803414435335,1.28538694554202,2.48273031570476,3.28267082551353,3.20784105965571,1.28538694554202,2.2636584893904
"Smp_319470",3.22154203499683,2.80069977410151,2.97501388153427,3.16209271194846,2.34194128736319,2.29838847545391,1.28538694554202,1.98362372481818
"Smp_319610",2.39937525356049,1.28538694554202,2.16560074465376,2.65586818214325,3.0453781817415,2.51421529061835,2.85900572777518,2.47280567850169
"Smp_319760",2.39937525356049,3.10476932223692,1.28538694554202,2.27197690098691,1.28538694554202,2.69130365696115,1.28538694554202,1.28538694554202
"Smp_320210",1.28538694554202,2.3803414435335,1.28538694554202,2.80470888550687,3.0453781817415,3.20784105965571,1.28538694554202,3.147626318167
"Smp_321620",2.20221402564359,1.28538694554202,1.28538694554202,2.65586818214325,3.28267082551353,2.29838847545391,1.28538694554202,1.28538694554202
"Smp_321750",2.39937525356049,1.28538694554202,2.51228725895802,2.80470888550687,3.0453781817415,1.28538694554202,1.28538694554202,1.28538694554202
"Smp_321860",1.93904056942926,2.80069977410151,3.44356418992518,2.27197690098691,1.28538694554202,1.28538694554202,1.28538694554202,2.2636584893904
"Smp_321920",2.56185896911196,2.80069977410151,1.28538694554202,2.65586818214325,1.28538694554202,1.28538694554202,2.85900572777518,1.28538694554202
"Smp_322000",1.93904056942926,2.3803414435335,2.51228725895802,2.27197690098691,2.74954660471989,2.69130365696115,3.42208266540914,3.04056625385644
"Smp_322220",2.56185896911196,1.28538694554202,2.51228725895802,2.93616375322469,1.28538694554202,3.4022685374295,1.28538694554202,1.28538694554202
"Smp_322230",2.70194139326678,3.5524176748125,3.30584653389383,1.98967052167573,3.80927100733812,4.24479719088975,4.36329884505056,3.71765414553691
"Smp_322410",2.20221402564359,1.28538694554202,2.51228725895802,1.28538694554202,2.74954660471989,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_322440",3.03991283982492,2.80069977410151,2.51228725895802,2.65586818214325,1.28538694554202,2.29838847545391,3.42208266540914,2.644689809044
"Smp_322560",2.56185896911196,2.80069977410151,3.30584653389383,2.93616375322469,1.28538694554202,3.4022685374295,1.28538694554202,2.2636584893904
"Smp_322570",2.56185896911196,2.80069977410151,1.28538694554202,2.93616375322469,2.74954660471989,2.69130365696115,1.28538694554202,2.644689809044
"Smp_322650",2.39937525356049,2.80069977410151,2.97501388153427,1.28538694554202,1.28538694554202,3.20784105965571,3.42208266540914,2.47280567850169
"Smp_322900",2.56185896911196,1.28538694554202,1.28538694554202,1.98967052167573,2.74954660471989,1.28538694554202,1.28538694554202,2.92309289979983
"Smp_322970",2.93780588926052,2.80069977410151,1.28538694554202,2.27197690098691,1.28538694554202,1.28538694554202,1.28538694554202,2.92309289979983
"Smp_323210",3.58678967372561,4.27012464719164,3.15144546392988,3.43891531940809,3.28267082551353,4.83050360361157,1.28538694554202,3.422900388911
"Smp_323540",1.28538694554202,3.10476932223692,2.16560074465376,1.28538694554202,2.34194128736319,2.00888757746702,1.28538694554202,3.04056625385644
"Smp_323650",4.41911159144124,4.27012464719164,3.78689163392738,3.92104239851023,2.74954660471989,4.46816659735471,3.81243532329849,3.71765414553691
"Smp_323680",4.06484156478212,5.03013748231149,5.29828183755184,5.4146815636825,3.80927100733812,5.72689261556737,1.28538694554202,4.25691171777879
"Smp_323710",3.58678967372561,3.88580163872985,5.11478735193901,4.76402619091699,2.74954660471989,5.06574687455845,1.28538694554202,4.1160551488358
"Smp_323810",5.29773149359356,5.47592433934081,5.95104308644238,5.96006524693501,5.4717641978984,6.93673581602945,5.43050212761684,5.39207634393391
"Smp_323830",3.58678967372561,1.28538694554202,2.97501388153427,3.26120696887742,3.0453781817415,2.97754411992151,1.28538694554202,3.78219730327865
"Smp_324190",5.05306855534594,5.69734756641929,5.52111861499006,5.63767335790643,5.33140830129311,6.53054068240688,4.91989051501762,5.39207634393391
"Smp_324230",3.30333083294673,3.10476932223692,3.30584653389383,3.66702019011835,1.28538694554202,3.20784105965571,2.85900572777518,2.47280567850169
"Smp_324240",2.56185896911196,1.28538694554202,2.16560074465376,2.65586818214325,1.28538694554202,2.29838847545391,1.28538694554202,1.28538694554202
"Smp_324360",2.70194139326678,3.34801934249986,3.30584653389383,3.3531263288872,3.28267082551353,3.9187242912518,1.28538694554202,2.644689809044
"Smp_325610",3.22154203499683,2.80069977410151,2.97501388153427,1.98967052167573,1.28538694554202,2.29838847545391,1.28538694554202,3.04056625385644
"Smp_325670",2.70194139326678,1.28538694554202,1.28538694554202,2.48273031570476,2.74954660471989,2.00888757746702,2.85900572777518,2.47280567850169
"Smp_325760",2.20221402564359,1.28538694554202,1.28538694554202,2.65586818214325,2.74954660471989,2.97754411992151,3.42208266540914,2.644689809044
"Smp_325920",2.56185896911196,2.80069977410151,2.97501388153427,3.16209271194846,4.18718330909461,3.4022685374295,1.28538694554202,3.3375723213198
"Smp_326180",3.87273280395883,4.02612156412284,4.14076057788381,3.86184904255881,3.80927100733812,4.09133983473172,4.11507649817148,4.01352315559188
"Smp_326440",2.82598493445811,3.72939495041365,2.97501388153427,2.27197690098691,2.74954660471989,2.29838847545391,1.28538694554202,1.98362372481818
"Smp_326570",2.56185896911196,2.80069977410151,2.51228725895802,3.3531263288872,1.28538694554202,2.97754411992151,2.85900572777518,2.92309289979983
"Smp_326750",2.20221402564359,1.28538694554202,2.51228725895802,1.28538694554202,2.74954660471989,2.84337247017249,1.28538694554202,1.28538694554202
"Smp_327300",7.08363547063527,7.9533575420537,8.91888839618257,8.47900300580119,8.57777299437785,9.8553239546671,8.19364554001159,8.79951422701772
"Smp_327480",2.56185896911196,2.80069977410151,2.97501388153427,2.93616375322469,2.74954660471989,2.97754411992151,1.28538694554202,2.92309289979983
"Smp_327530",2.20221402564359,1.28538694554202,1.28538694554202,2.27197690098691,2.34194128736319,2.84337247017249,1.28538694554202,1.98362372481818
"Smp_327550",3.03991283982492,1.28538694554202,2.97501388153427,2.27197690098691,1.28538694554202,2.29838847545391,1.28538694554202,1.28538694554202
"Smp_327600",2.20221402564359,3.10476932223692,2.76765683897908,2.65586818214325,2.74954660471989,2.00888757746702,1.28538694554202,2.47280567850169
"Smp_327920",1.28538694554202,1.28538694554202,2.16560074465376,1.28538694554202,2.34194128736319,2.29838847545391,1.28538694554202,2.92309289979983
"Smp_328230",3.03991283982492,1.28538694554202,1.28538694554202,2.27197690098691,1.28538694554202,2.29838847545391,3.42208266540914,2.2636584893904
"Smp_328580",4.31070680961059,4.15347326433504,3.15144546392988,4.03227563442488,1.28538694554202,3.57128021453252,1.28538694554202,3.3375723213198
"Smp_328590",3.22154203499683,3.88580163872985,3.30584653389383,3.43891531940809,2.74954660471989,2.51421529061835,2.85900572777518,2.79250380900478
"Smp_328750",2.20221402564359,1.28538694554202,2.51228725895802,3.43891531940809,3.80927100733812,3.30875034541822,3.42208266540914,2.92309289979983
"Smp_329010",2.20221402564359,2.80069977410151,2.51228725895802,2.27197690098691,1.28538694554202,2.29838847545391,1.28538694554202,1.98362372481818
"Smp_329200",2.70194139326678,3.72939495041365,2.51228725895802,2.93616375322469,3.0453781817415,3.20784105965571,1.28538694554202,3.04056625385644
"Smp_329430",2.20221402564359,2.80069977410151,2.97501388153427,2.27197690098691,1.28538694554202,2.97754411992151,1.28538694554202,2.644689809044
"Smp_329590",1.93904056942926,1.28538694554202,3.44356418992518,2.80470888550687,2.34194128736319,3.64831448041909,2.85900572777518,2.79250380900478
"Smp_329680",2.20221402564359,1.28538694554202,3.30584653389383,3.3531263288872,3.0453781817415,3.4022685374295,3.42208266540914,2.2636584893904
"Smp_329690",1.28538694554202,1.28538694554202,2.51228725895802,1.98967052167573,3.48250090189167,2.51421529061835,1.28538694554202,2.2636584893904
"Smp_329780",3.45273970945441,3.34801934249986,3.78689163392738,4.48444463711973,3.65584041646758,4.09133983473172,1.28538694554202,4.21152448647627
"Smp_329940",2.82598493445811,2.3803414435335,2.97501388153427,1.98967052167573,3.28267082551353,1.28538694554202,1.28538694554202,1.28538694554202
"Smp_329950",2.70194139326678,1.28538694554202,1.28538694554202,2.65586818214325,3.0453781817415,2.29838847545391,1.28538694554202,2.2636584893904
"Smp_330330",2.70194139326678,1.28538694554202,2.16560074465376,2.80470888550687,3.28267082551353,3.09809581119798,1.28538694554202,3.24616570749668
"Smp_330450",2.56185896911196,1.28538694554202,2.51228725895802,2.27197690098691,2.74954660471989,3.20784105965571,1.28538694554202,2.644689809044
"Smp_330600",3.30333083294673,1.28538694554202,4.06045095647784,3.16209271194846,2.74954660471989,4.9233303623628,3.42208266540914,3.64986138954023
"Smp_330640",2.39937525356049,2.3803414435335,2.97501388153427,2.27197690098691,3.28267082551353,2.84337247017249,3.42208266540914,1.98362372481818
"Smp_330790",1.28538694554202,1.28538694554202,2.51228725895802,1.98967052167573,3.0453781817415,2.84337247017249,1.28538694554202,1.28538694554202
"Smp_331170",2.20221402564359,3.34801934249986,2.97501388153427,2.93616375322469,1.28538694554202,2.29838847545391,1.28538694554202,2.47280567850169
"Smp_331400",4.78469338069169,4.89296660207382,5.39805321098722,4.9703133765522,5.63979891926273,5.6388081689641,4.57411210801398,5.66533861215323
"Smp_331810",2.56185896911196,1.28538694554202,2.51228725895802,1.28538694554202,1.28538694554202,2.00888757746702,1.28538694554202,2.644689809044
"Smp_331870",1.28538694554202,2.80069977410151,1.28538694554202,2.27197690098691,1.28538694554202,2.29838847545391,1.28538694554202,2.92309289979983
"Smp_331910",2.70194139326678,1.28538694554202,2.97501388153427,2.27197690098691,3.65584041646758,3.9786996953879,3.42208266540914,2.92309289979983
"Smp_331920",2.93780588926052,1.28538694554202,1.28538694554202,2.93616375322469,1.28538694554202,2.97754411992151,1.28538694554202,3.147626318167
"Smp_332340",1.93904056942926,1.28538694554202,2.16560074465376,2.48273031570476,3.28267082551353,2.69130365696115,1.28538694554202,3.422900388911
"Smp_332360",2.20221402564359,2.80069977410151,1.28538694554202,2.27197690098691,1.28538694554202,1.28538694554202,1.28538694554202,2.644689809044
"Smp_332480",4.31070680961059,4.37778251857809,4.28867324726111,4.73195164082564,4.07234726442015,4.29241072235079,3.81243532329849,4.53910659257484
"Smp_332600",2.20221402564359,2.80069977410151,1.28538694554202,1.28538694554202,1.28538694554202,2.29838847545391,1.28538694554202,2.644689809044
"Smp_332620",3.03991283982492,1.28538694554202,2.51228725895802,2.27197690098691,1.28538694554202,1.28538694554202,1.28538694554202,2.2636584893904
"Smp_332670",1.28538694554202,1.28538694554202,2.97501388153427,2.65586818214325,1.28538694554202,2.97754411992151,1.28538694554202,2.47280567850169
"Smp_332800",2.82598493445811,2.80069977410151,1.28538694554202,1.28538694554202,2.74954660471989,2.51421529061835,1.28538694554202,2.2636584893904
"Smp_332930",2.56185896911196,1.28538694554202,3.15144546392988,2.65586818214325,3.28267082551353,2.29838847545391,1.28538694554202,2.644689809044
"Smp_332950",3.22154203499683,2.80069977410151,4.94887507012441,4.13520661767671,3.65584041646758,3.79025289706929,3.42208266540914,3.50297324576032
"Smp_333010",3.70853930828445,2.3803414435335,3.44356418992518,3.26120696887742,3.0453781817415,3.4022685374295,1.28538694554202,2.79250380900478
"Smp_333040",4.2726243936975,4.8190850400634,4.21667804028746,3.92104239851023,4.07234726442015,3.72115213981448,2.85900572777518,3.422900388911
"Smp_333140",1.28538694554202,1.28538694554202,1.28538694554202,2.48273031570476,2.74954660471989,2.51421529061835,1.28538694554202,2.644689809044
"Smp_333310",1.28538694554202,3.34801934249986,1.28538694554202,2.27197690098691,2.74954660471989,2.29838847545391,1.28538694554202,2.644689809044
"Smp_333420",2.20221402564359,3.34801934249986,2.97501388153427,2.93616375322469,1.28538694554202,3.09809581119798,1.28538694554202,3.50297324576032
