"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"959","Smp_244560",6,0,9,2,2,2,0,0,21
"960","Smp_061920",10,2,6,16,2,12,0,4,52
"961","Smp_061940",16,4,4,10,2,12,0,17,65
"962","Smp_066760",7,4,6,10,18,2,0,12,59
"963","Smp_147520",2,0,0,4,4,0,0,4,14
"964","Smp_203630",6,0,4,2,2,4,0,8,26
"965","Smp_203635",39,6,18,38,28,22,6,91,248
"966","Smp_333090",8,0,0,8,0,0,0,0,16
"967","Smp_147400",2,0,0,2,4,0,0,4,12
"968","Smp_177290",5,1,1,1,2,6,0,0,16
"969","Smp_346810",3,1,1,3,4,13,2,4,31
"970","Smp_347190",4,0,0,0,0,4,2,2,12
"971","Smp_047060",4,0,0,0,4,2,0,0,10
"972","Smp_147420",0,0,2,4,2,6,0,5,19
"973","Smp_340800",10,2,6,7,2,3,0,2,32
"974","Smp_047110",0,0,6,0,2,0,0,2,10
"975","Smp_047200",17,0,4,8,6,10,0,8,53
"976","Smp_147460",4,0,0,0,4,2,0,0,10
"977","Smp_242800",0,0,2,2,2,2,0,4,12
"978","Smp_075470",0,0,2,4,0,0,0,4,10
"979","Smp_076230",2,0,2,0,6,4,0,6,20
"980","Smp_163250",7,3,4,16,0,14,2,9,55
"981","Smp_345410",1,1,1,5,0,3,0,8,19
"982","Smp_163300",2,0,3,4,2,0,0,2,13
"983","Smp_076370",4,2,0,0,0,4,0,2,12
"984","Smp_163320",15,10,13,12,8,12,2,20,92
"985","Smp_163330",2,0,2,3,4,6,2,13,32
"986","Smp_076450",4,0,4,0,2,0,0,0,10
"987","Smp_076530",6,0,2,0,4,4,4,2,22
"988","Smp_058170",8,0,6,14,4,8,2,2,44
"989","Smp_153490",0,0,2,4,0,2,0,2,10
"990","Smp_058240",0,2,2,2,2,0,0,2,10
"991","Smp_058270",3,1,1,2,0,4,0,4,15
"992","Smp_058320",2,0,4,0,0,2,0,4,12
"993","Smp_058350",0,0,0,6,2,0,0,2,10
"994","Smp_153590",2,0,2,2,2,5,2,0,15
"995","Smp_058450",25,7,8,4,2,9,2,10,67
"996","Smp_058460",0,2,2,8,0,2,0,4,18
"997","Smp_153700",2,2,0,8,0,6,0,0,18
"998","Smp_058620",2,0,0,2,0,4,0,4,12
"999","Smp_153710",20,5,11,5,3,16,3,3,66
"1000","Smp_153720",0,2,0,4,0,2,0,5,13
"1001","Smp_058650",0,6,2,6,4,2,0,0,20
"1002","Smp_058690",10,2,7,12,10,40,0,14,95
"1003","Smp_058700",2,0,1,0,3,6,0,4,16
"1004","Smp_345880",18,9,12,26,5,20,2,24,116
"1005","Smp_136570",4,2,3,2,2,4,0,2,19
"1006","Smp_136580",0,0,2,2,2,3,0,2,11
"1007","Smp_136590",0,0,1,4,2,10,2,2,21
"1008","Smp_323210",16,10,5,12,5,40,0,12,100
"1009","Smp_176340",3,0,0,5,4,0,0,3,15
"1010","Smp_098650",5,5,4,3,0,4,2,5,28
"1011","Smp_176370",5,2,2,1,0,2,0,6,18
"1012","Smp_018240",10,2,2,8,2,10,0,4,38
"1013","Smp_018220",5,3,3,0,1,2,0,2,16
"1014","Smp_132180",2,2,4,6,0,2,0,2,18
"1015","Smp_340310",4,0,2,2,0,4,0,10,22
"1016","Smp_244490",8,0,0,6,3,2,0,0,19
"1017","Smp_349880",0,0,3,6,0,4,0,4,17
"1018","Smp_305730",8,2,0,11,2,9,0,4,36
"1019","Smp_132090",0,0,4,6,4,6,2,6,28
"1020","Smp_132050",4,2,4,0,0,0,0,2,12
"1021","Smp_132020",0,0,2,0,0,4,0,4,10
"1022","Smp_340300",0,2,0,4,4,6,4,2,22
"1023","Smp_017830",4,2,0,4,2,10,0,4,26
"1024","Smp_340290",7,0,0,0,0,4,0,4,15
"1025","Smp_131950",8,0,0,0,0,8,0,2,18
"1026","Smp_017750",4,2,2,2,4,10,0,0,24
