"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"3957","Smp_010820",3,0,2,8,4,4,2,6,29
"3958","Smp_127940",8,0,6,3,4,2,0,0,23
"3959","Smp_337860",4,0,0,4,6,0,0,0,14
"3960","Smp_010930",8,0,0,4,4,0,0,9,25
"3961","Smp_010940",10,2,8,13,6,9,1,12,61
"3962","Smp_003270",7,0,4,8,0,0,0,2,21
"3963","Smp_350270",45,19,10,25,9,22,5,12,147
"3964","Smp_315820",12,0,10,4,4,14,6,13,63
"3965","Smp_210080",16,18,3,11,0,0,2,9,59
"3966","Smp_210090",0,0,0,2,2,4,0,2,10
"3967","Smp_033400",12,0,10,10,8,12,0,2,54
"3968","Smp_140180",2,0,2,2,2,4,0,0,12
"3969","Smp_140120",4,0,4,4,4,2,4,4,26
"3970","Smp_140080",4,2,0,6,9,2,0,10,33
"3971","Smp_340650",15,3,4,4,7,9,0,18,60
"3972","Smp_033140",4,0,0,0,4,2,0,6,16
"3973","Smp_140020",2,0,4,10,4,2,2,6,30
"3974","Smp_198380",15,6,2,9,10,11,0,8,61
"3975","Smp_140000",28,2,13,25,22,24,4,37,155
"3976","Smp_248080",6,2,8,4,2,7,0,5,34
"3977","Smp_057320",0,0,0,2,0,2,2,6,12
"3978","Smp_152940",13,6,7,13,3,2,0,13,57
"3979","Smp_153010",0,2,0,4,2,0,0,6,14
"3980","Smp_300790",0,0,3,3,1,1,1,3,12
"3981","Smp_057530",0,0,0,3,2,2,3,2,12
"3982","Smp_318260",6,2,6,4,2,0,0,5,25
"3983","Smp_203280",6,0,2,2,4,8,0,2,24
"3984","Smp_119980",11,1,3,3,5,4,0,13,40
"3985","Smp_332300",2,0,4,2,2,0,0,0,10
"3986","Smp_332320",5,3,4,0,1,0,3,6,22
"3987","Smp_336610",2,0,0,2,4,2,0,0,10
"3988","Smp_144700",0,0,4,2,6,0,0,6,18
"3989","Smp_041370",8,0,0,2,0,0,0,0,10
"3990","Smp_041390",0,0,2,0,2,6,0,0,10
"3991","Smp_144760",0,0,6,4,6,0,0,1,17
"3992","Smp_041450",6,0,2,2,2,0,0,4,16
"3993","Smp_041480",8,2,2,3,7,4,0,8,34
"3994","Smp_041500",4,3,0,0,2,2,2,0,13
"3995","Smp_210370",2,3,0,4,2,0,2,10,23
"3996","Smp_041550",4,0,2,4,2,2,0,2,16
"3997","Smp_343720",0,0,0,4,0,0,0,6,10
"3998","Smp_144820",7,8,18,21,11,11,8,25,109
"3999","Smp_041600",2,0,2,2,4,4,0,4,18
"4000","Smp_144840",4,0,2,4,4,2,0,10,26
"4001","Smp_041630",2,2,0,8,4,2,0,6,24
"4002","Smp_041650",2,0,0,6,4,6,0,0,18
"4003","Smp_134580",2,0,1,5,0,4,0,3,15
"4004","Smp_300910",1,0,5,6,5,4,4,4,29
"4005","Smp_134530",2,0,4,0,4,2,0,2,14
