"","Geneid","n"
"527","Smp_049990",3
"528","Smp_050130",3
"529","Smp_050270",1
"530","Smp_050350",2
"531","Smp_050430",2
"532","Smp_050520",2
"533","Smp_050590",1
"534","Smp_050700",3
"535","Smp_050730",2
"536","Smp_050820",1
"537","Smp_050880",2
"538","Smp_051000",2
"539","Smp_051090",2
"540","Smp_051220",1
"541","Smp_051280",3
"542","Smp_051320",1
"543","Smp_051390",3
"544","Smp_051400",2
"545","Smp_051410",1
"546","Smp_051420",2
"547","Smp_051660",3
"548","Smp_051920",1
"549","Smp_052140",3
"550","Smp_052290",2
"551","Smp_052710",1
"552","Smp_052740",3
"553","Smp_052750",1
"554","Smp_052890",1
"555","Smp_053020",2
"556","Smp_053040",1
"557","Smp_053060",3
"558","Smp_053120",3
"559","Smp_053140",2
"560","Smp_053160",2
"561","Smp_053430",3
"562","Smp_053470",3
"563","Smp_053640",1
"564","Smp_053700",2
"565","Smp_053780",3
"566","Smp_053790",2
"567","Smp_053800",1
"568","Smp_053990",3
"569","Smp_054010",1
"570","Smp_054200",3
"571","Smp_054220",3
"572","Smp_054230",2
"573","Smp_054300",3
"574","Smp_054310",2
"575","Smp_054410",3
"576","Smp_054450",2
"577","Smp_054600",3
"578","Smp_054775",1
"579","Smp_055090",2
"580","Smp_055190",2
"581","Smp_055240",1
"582","Smp_055310",1
"583","Smp_055390",2
"584","Smp_055450",1
"585","Smp_055740",2
"586","Smp_055760",2
"587","Smp_055770",1
"588","Smp_055780",1
"589","Smp_055890",2
"590","Smp_055920",3
"591","Smp_056370",3
"592","Smp_056390",1
"593","Smp_056850",2
"594","Smp_056860",3
"595","Smp_056990",2
"596","Smp_057090",1
"597","Smp_057430",2
"598","Smp_057650",3
"599","Smp_058360",3
"600","Smp_058400",2
"601","Smp_058410",2
"602","Smp_058470",1
"603","Smp_058790",3
"604","Smp_058850",2
"605","Smp_058880",1
"606","Smp_058990",2
"607","Smp_059170",2
"608","Smp_059570",3
"609","Smp_059670",2
"610","Smp_059820",1
"611","Smp_059870",2
"612","Smp_059910",1
"613","Smp_059980",3
"614","Smp_060030",2
"615","Smp_060070",1
"616","Smp_060080",1
"617","Smp_060160",2
"618","Smp_060170",3
"619","Smp_060180",2
"620","Smp_060480",2
"621","Smp_060570",2
"622","Smp_060620",2
"623","Smp_060700",3
"624","Smp_060750",1
"625","Smp_060860",2
"626","Smp_060900",2
"627","Smp_060940",2
"628","Smp_061210",3
"629","Smp_061230",3
"630","Smp_061500",3
"631","Smp_061540",3
"632","Smp_061570",2
"633","Smp_061970",2
"634","Smp_062070",2
"635","Smp_062120",2
"636","Smp_062520",1
"637","Smp_062550",1
"638","Smp_062560",3
"639","Smp_062790",3
"640","Smp_062970",1
"641","Smp_062980",1
"642","Smp_063000",1
"643","Smp_063040",2
"644","Smp_063180",2
"645","Smp_063250",3
"646","Smp_063500",3
"647","Smp_063540",3
"648","Smp_063580",3
"649","Smp_063640",3
"650","Smp_063670",2
"651","Smp_064010",3
"652","Smp_064020",3
"653","Smp_064150",1
"654","Smp_064250",3
"655","Smp_064280",3
"656","Smp_064380",3
"657","Smp_064430",2
"658","Smp_064460",2
"659","Smp_064600",2
"660","Smp_064640",3
"661","Smp_064650",3
"662","Smp_065060",2
"663","Smp_065150",3
"664","Smp_065160",3
"665","Smp_065170",3
"666","Smp_065190",2
"667","Smp_065240",3
"668","Smp_065290",3
"669","Smp_065370",2
"670","Smp_065420",1
"671","Smp_065610",3
"672","Smp_065890",2
"673","Smp_066330",3
"674","Smp_066340",1
"675","Smp_066480",1
"676","Smp_066520",1
"677","Smp_066590",1
"678","Smp_066670",1
"679","Smp_066940",3
"680","Smp_066950",2
"681","Smp_067090",3
"682","Smp_067250",1
"683","Smp_067260",1
"684","Smp_067280",1
"685","Smp_067420",2
"686","Smp_067430",1
"687","Smp_067510",2
"688","Smp_067520",3
"689","Smp_067580",3
"690","Smp_067590",3
"691","Smp_067890",3
"692","Smp_067930",3
"693","Smp_068170",3
"694","Smp_068220",3
"695","Smp_068240",2
"696","Smp_068300",2
"697","Smp_068350",2
"698","Smp_068440",3
"699","Smp_068480",3
"700","Smp_068580",1
"701","Smp_068710",2
"702","Smp_068720",2
"703","Smp_068840",1
"704","Smp_068990",2
"705","Smp_069170",1
"706","Smp_069220",2
"707","Smp_069240",1
"708","Smp_069770",3
"709","Smp_069880",3
"710","Smp_069890",2
"711","Smp_069910",3
"712","Smp_070020",2
"713","Smp_070100",1
"714","Smp_070110",3
"715","Smp_070170",3
"716","Smp_070190",1
"717","Smp_070330",3
"718","Smp_070360",1
"719","Smp_070600",3
"720","Smp_070610",1
"721","Smp_070710",2
"722","Smp_070770",2
"723","Smp_070780",3
"724","Smp_071140",3
"725","Smp_071380",3
"726","Smp_071540",3
"727","Smp_071570",1
"728","Smp_071590",2
"729","Smp_071880",2
"730","Smp_071890",2
"731","Smp_071960",2
"732","Smp_072210",1
"733","Smp_072450",2
"734","Smp_072460",3
"735","Smp_072470",2
"736","Smp_072490",1
"737","Smp_072660",1
"738","Smp_072670",1
"739","Smp_072800",3
"740","Smp_072870",2
"741","Smp_072890",2
"742","Smp_072990",1
"743","Smp_073070",1
"744","Smp_073080",3
"745","Smp_073200",2
"746","Smp_073210",2
"747","Smp_073220",3
"748","Smp_073270",2
"749","Smp_073300",3
"750","Smp_073390",3
"751","Smp_073490",1
"752","Smp_073510",1
"753","Smp_073540",1
"754","Smp_073790",2
"755","Smp_073920",2
"756","Smp_074010",2
"757","Smp_074020",3
"758","Smp_074070",3
"759","Smp_074190",2
"760","Smp_074230",2
"761","Smp_074260",2
"762","Smp_074500",3
"763","Smp_074510",3
"764","Smp_074590",1
"765","Smp_074610",1
"766","Smp_074770",3
"767","Smp_074880",1
"768","Smp_074990",1
"769","Smp_075040",2
"770","Smp_075110",3
"771","Smp_075130",3
"772","Smp_075140",1
"773","Smp_075280",1
"774","Smp_075380",1
"775","Smp_075430",2
"776","Smp_075800",2
"777","Smp_075870",3
"778","Smp_076030",3
"779","Smp_076050",2
"780","Smp_076300",1
"781","Smp_076390",3
"782","Smp_076400",2
"783","Smp_076560",1
"784","Smp_076600",2
"785","Smp_076650",1
"786","Smp_076910",1
"787","Smp_076930",1
"788","Smp_077030",3
"789","Smp_077090",3
"790","Smp_077180",1
"791","Smp_077230",3
"792","Smp_077310",3
"793","Smp_077540",3
"794","Smp_077590",3
"795","Smp_077720",3
"796","Smp_077850",1
"797","Smp_077980",3
"798","Smp_078280",1
"799","Smp_078310",1
"800","Smp_078400",2
"801","Smp_078560",1
"802","Smp_078600",3
"803","Smp_078640",3
"804","Smp_078690",3
"805","Smp_078700",1
"806","Smp_078710",1
"807","Smp_078780",3
"808","Smp_078800",2
"809","Smp_078920",1
"810","Smp_078930",1
"811","Smp_079000",3
"812","Smp_079240",2
"813","Smp_079400",1
"814","Smp_079410",2
"815","Smp_079640",2
"816","Smp_079710",1
"817","Smp_079760",2
"818","Smp_079800",1
"819","Smp_079810",2
"820","Smp_079840",1
"821","Smp_080100",3
"822","Smp_080110",1
"823","Smp_080130",3
"824","Smp_080180",3
"825","Smp_080210",1
"826","Smp_080610",2
"827","Smp_080620",2
"828","Smp_080730",2
"829","Smp_080870",2
"830","Smp_081200",1
"831","Smp_081420",1
"832","Smp_081460",1
"833","Smp_081470",2
"834","Smp_081510",1
"835","Smp_081820",3
"836","Smp_082050",2
"837","Smp_082280",2
"838","Smp_082290",1
"839","Smp_082490",1
"840","Smp_082570",2
"841","Smp_082620",3
"842","Smp_082660",1
"843","Smp_082670",1
"844","Smp_082710",3
"845","Smp_082740",1
"846","Smp_082780",3
"847","Smp_082790",3
"848","Smp_082820",2
"849","Smp_083130",3
"850","Smp_083380",2
"851","Smp_083730",3
"852","Smp_083780",2
"853","Smp_083790",1
"854","Smp_083870",3
"855","Smp_083930",3
"856","Smp_083970",2
"857","Smp_084010",1
"858","Smp_084060",2
"859","Smp_084080",3
"860","Smp_084090",3
"861","Smp_084270",1
"862","Smp_084320",3
"863","Smp_084520",2
"864","Smp_084610",2
"865","Smp_084860",2
"866","Smp_084870",2
"867","Smp_084910",1
"868","Smp_085080",2
"869","Smp_085290",3
"870","Smp_085310",3
"871","Smp_085380",1
"872","Smp_085640",2
"873","Smp_085650",1
"874","Smp_085680",1
"875","Smp_085780",1
"876","Smp_085790",1
"877","Smp_086030",1
"878","Smp_086060",2
"879","Smp_086210",2
"880","Smp_086450",2
"881","Smp_086750",1
"882","Smp_086760",3
"883","Smp_086830",2
"884","Smp_086860",2
"885","Smp_086910",1
"886","Smp_086960",2
"887","Smp_087010",2
"888","Smp_087320",1
"889","Smp_087330",2
"890","Smp_087340",1
"891","Smp_087440",3
"892","Smp_087520",3
"893","Smp_087560",1
"894","Smp_087580",3
"895","Smp_087690",2
"896","Smp_087870",3
"897","Smp_088090",2
"898","Smp_088240",2
"899","Smp_088250",3
"900","Smp_088270",2
"901","Smp_088310",2
"902","Smp_088390",3
"903","Smp_088420",1
"904","Smp_088460",3
"905","Smp_088550",2
"906","Smp_088600",3
"907","Smp_088990",3
"908","Smp_089000",3
"909","Smp_089050",3
"910","Smp_089100",1
"911","Smp_089200",1
"912","Smp_089230",2
"913","Smp_089290",2
"914","Smp_089320",1
"915","Smp_089700",3
"916","Smp_089860",3
"917","Smp_089870",2
"918","Smp_090030",2
"919","Smp_090070",1
"920","Smp_090150",2
"921","Smp_090980",1
"922","Smp_091190",3
"923","Smp_091230",3
"924","Smp_091640",2
"925","Smp_091820",3
"926","Smp_091850",3
"927","Smp_091950",1
"928","Smp_091990",2
"929","Smp_092170",1
"930","Smp_092180",1
"931","Smp_092580",2
"932","Smp_092950",3
"933","Smp_093070",1
"934","Smp_093210",2
"935","Smp_093450",3
"936","Smp_093580",3
"937","Smp_093850",3
"938","Smp_093920",2
"939","Smp_094050",3
"940","Smp_094190",1
"941","Smp_094320",2
"942","Smp_094380",1
"943","Smp_094390",1
"944","Smp_094470",1
"945","Smp_094480",2
"946","Smp_094560",1
"947","Smp_094640",2
"948","Smp_094820",3
"949","Smp_094870",2
"950","Smp_094880",2
"951","Smp_09489",3
"952","Smp_095190",2
"953","Smp_095350",2
"954","Smp_095400",1
"955","Smp_095410",1
"956","Smp_095470",3
"957","Smp_095480",1
"958","Smp_095920",3
"959","Smp_096210",1
"960","Smp_096240",2
"961","Smp_096270",1
"962","Smp_096320",2
"963","Smp_096360",1
"964","Smp_096410",1
"965","Smp_096480",3
"966","Smp_096520",3
"967","Smp_096640",1
"968","Smp_096780",2
"969","Smp_097020",1
"970","Smp_097620",1
"971","Smp_097740",3
"972","Smp_097810",3
"973","Smp_097940",1
"974","Smp_098090",3
"975","Smp_098300",1
"976","Smp_098450",3
"977","Smp_098550",2
"978","Smp_098740",2
"979","Smp_098760",2
"980","Smp_098840",2
"981","Smp_098850",2
"982","Smp_098950",3
"983","Smp_098980",3
"984","Smp_099170",1
"985","Smp_099240",2
"986","Smp_099300",3
"987","Smp_099420",2
"988","Smp_099690",3
"989","Smp_099850",3
"990","Smp_100030",3
"991","Smp_100080",3
"992","Smp_100120",2
"993","Smp_100130",2
"994","Smp_100140",2
"995","Smp_101310",1
"996","Smp_102410",1
"997","Smp_102490",1
"998","Smp_102510",3
"999","Smp_102840",2
"1000","Smp_103340",3
"1001","Smp_103560",3
"1002","Smp_103740",3
"1003","Smp_103830",2
"1004","Smp_104310",1
"1005","Smp_104370",1
"1006","Smp_104580",3
"1007","Smp_104600",3
"1008","Smp_104660",3
"1009","Smp_104720",3
"1010","Smp_104960",3
"1011","Smp_105040",3
"1012","Smp_105100",3
"1013","Smp_105180",3
"1014","Smp_105200",3
"1015","Smp_105220",1
"1016","Smp_105340",1
"1017","Smp_105480",2
"1018","Smp_105540",3
"1019","Smp_105700",2
"1020","Smp_105710",1
"1021","Smp_105960",3
"1022","Smp_106010",2
"1023","Smp_106060",1
"1024","Smp_106110",2
"1025","Smp_106390",1
"1026","Smp_106970",3
"1027","Smp_107200",2
"1028","Smp_108610",3
"1029","Smp_110280",2
"1030","Smp_112930",3
"1031","Smp_113740",2
"1032","Smp_114160",3
"1033","Smp_114430",1
"1034","Smp_114435",1
"1035","Smp_114660",3
"1036","Smp_114870",1
"1037","Smp_115450",3
"1038","Smp_117340",1
"1039","Smp_118750",2
"1040","Smp_118780",2
"1041","Smp_120020",2
"1042","Smp_120070",2
"1043","Smp_120080",2
"1044","Smp_120350",2
"1045","Smp_120360",2
"1046","Smp_120670",3
"1047","Smp_120700",3
"1048","Smp_120960",2
"1049","Smp_121130",1
"1050","Smp_121160",2
"1051","Smp_121230",2
"1052","Smp_121390",3
"1053","Smp_121460",1
"1054","Smp_121580",1
"1055","Smp_121600",3
"1056","Smp_121610",2
"1057","Smp_121660",3
"1058","Smp_121790",3
"1059","Smp_121800",2
"1060","Smp_122490",1
"1061","Smp_122630",1
"1062","Smp_122680",1
"1063","Smp_122780",2
"1064","Smp_122890",3
"1065","Smp_122920",3
"1066","Smp_123010",1
"1067","Smp_123020",2
"1068","Smp_123030",2
"1069","Smp_123050",3
"1070","Smp_123120",3
"1071","Smp_123200",1
"1072","Smp_123270",2
"1073","Smp_123280",2
"1074","Smp_123300",1
"1075","Smp_123330",3
"1076","Smp_123340",2
"1077","Smp_123360",3
"1078","Smp_123370",3
"1079","Smp_123390",2
"1080","Smp_123410",3
"1081","Smp_123450",2
"1082","Smp_123470",1
"1083","Smp_123490",1
"1084","Smp_123510",3
"1085","Smp_123550",1
"1086","Smp_123590",3
"1087","Smp_123630",2
"1088","Smp_123640",1
"1089","Smp_123670",3
"1090","Smp_123690",3
"1091","Smp_123720",2
"1092","Smp_124020",1
"1093","Smp_124030",2
"1094","Smp_124050",1
"1095","Smp_124060",1
"1096","Smp_124100",3
"1097","Smp_124110",2
"1098","Smp_124120",3
"1099","Smp_124130",3
"1100","Smp_124160",3
"1101","Smp_124230",3
"1102","Smp_124390",3
"1103","Smp_124450",1
"1104","Smp_124490",3
"1105","Smp_124520",2
"1106","Smp_124590",1
"1107","Smp_124700",2
"1108","Smp_124710",2
"1109","Smp_124760",1
"1110","Smp_124770",1
"1111","Smp_124850",2
"1112","Smp_124860",1
"1113","Smp_124890",1
"1114","Smp_124940",2
"1115","Smp_124980",3
"1116","Smp_125040",1
"1117","Smp_125050",3
"1118","Smp_125070",1
"1119","Smp_125080",1
"1120","Smp_125130",1
"1121","Smp_125160",3
"1122","Smp_125210",1
"1123","Smp_125250",1
"1124","Smp_125260",3
"1125","Smp_125270",2
"1126","Smp_125350",2
"1127","Smp_125440",3
"1128","Smp_125480",3
"1129","Smp_125490",3
"1130","Smp_125560",3
"1131","Smp_125630",3
"1132","Smp_125640",2
"1133","Smp_125660",2
"1134","Smp_125780",3
"1135","Smp_125800",3
"1136","Smp_125820",2
"1137","Smp_125870",2
"1138","Smp_125930",2
"1139","Smp_125940",2
"1140","Smp_125960",1
"1141","Smp_126050",2
"1142","Smp_126080",1
"1143","Smp_126170",3
"1144","Smp_126210",1
"1145","Smp_126220",3
"1146","Smp_126310",1
"1147","Smp_126360",1
"1148","Smp_126370",3
"1149","Smp_126420",1
"1150","Smp_126470",2
"1151","Smp_126530",2
