"","Geneid","n"
"882","Smp_070340",2
"883","Smp_070360",1
"884","Smp_070370",1
"885","Smp_070600",1
"886","Smp_070610",1
"887","Smp_070710",1
"888","Smp_070780",2
"889","Smp_071000",2
"890","Smp_071020",1
"891","Smp_071050",3
"892","Smp_071140",3
"893","Smp_071150",3
"894","Smp_071380",2
"895","Smp_071540",2
"896","Smp_071570",2
"897","Smp_071590",1
"898","Smp_071610",3
"899","Smp_071770",3
"900","Smp_071880",3
"901","Smp_071890",2
"902","Smp_071950",2
"903","Smp_071960",1
"904","Smp_072100",2
"905","Smp_072180",2
"906","Smp_072210",1
"907","Smp_072440",3
"908","Smp_072460",1
"909","Smp_072500",2
"910","Smp_072560",1
"911","Smp_072630",3
"912","Smp_072640",1
"913","Smp_072740",2
"914","Smp_072800",2
"915","Smp_072890",3
"916","Smp_072950",1
"917","Smp_072970",3
"918","Smp_072980",3
"919","Smp_073070",1
"920","Smp_073080",2
"921","Smp_073210",2
"922","Smp_073220",2
"923","Smp_073270",1
"924","Smp_073300",2
"925","Smp_073390",1
"926","Smp_073410",3
"927","Smp_073490",1
"928","Smp_073570",3
"929","Smp_073600",1
"930","Smp_073720",3
"931","Smp_073830",1
"932","Smp_073920",1
"933","Smp_074010",2
"934","Smp_074020",1
"935","Smp_074040",2
"936","Smp_074190",2
"937","Smp_074200",3
"938","Smp_074210",3
"939","Smp_074230",1
"940","Smp_074390",3
"941","Smp_074400",3
"942","Smp_074510",1
"943","Smp_074590",2
"944","Smp_074610",2
"945","Smp_074710",2
"946","Smp_074770",2
"947","Smp_074830",3
"948","Smp_074870",3
"949","Smp_074940",2
"950","Smp_074990",2
"951","Smp_075040",2
"952","Smp_075110",2
"953","Smp_075140",1
"954","Smp_075280",2
"955","Smp_075420",1
"956","Smp_075430",3
"957","Smp_075470",3
"958","Smp_075560",3
"959","Smp_075640",3
"960","Smp_075870",1
"961","Smp_076390",2
"962","Smp_076450",3
"963","Smp_076520",1
"964","Smp_076540",2
"965","Smp_076560",3
"966","Smp_076600",1
"967","Smp_076630",3
"968","Smp_076880",3
"969","Smp_076910",2
"970","Smp_076930",2
"971","Smp_077000",2
"972","Smp_077030",3
"973","Smp_077230",1
"974","Smp_077310",2
"975","Smp_077400",2
"976","Smp_077540",2
"977","Smp_077580",1
"978","Smp_077590",3
"979","Smp_077670",1
"980","Smp_077720",1
"981","Smp_077790",1
"982","Smp_077820",1
"983","Smp_077850",2
"984","Smp_077980",1
"985","Smp_078040",1
"986","Smp_078110",1
"987","Smp_078240",1
"988","Smp_078310",2
"989","Smp_078400",1
"990","Smp_078550",3
"991","Smp_078570",2
"992","Smp_078600",1
"993","Smp_078640",3
"994","Smp_078690",2
"995","Smp_078700",2
"996","Smp_078710",1
"997","Smp_078780",2
"998","Smp_078800",3
"999","Smp_078900",3
"1000","Smp_078920",2
"1001","Smp_078930",1
"1002","Smp_079000",2
"1003","Smp_079240",1
"1004","Smp_079370",2
"1005","Smp_079600",1
"1006","Smp_079640",1
"1007","Smp_079710",3
"1008","Smp_079800",2
"1009","Smp_079810",1
"1010","Smp_079970",3
"1011","Smp_080100",1
"1012","Smp_080110",2
"1013","Smp_080130",2
"1014","Smp_080150",2
"1015","Smp_080180",2
"1016","Smp_080210",1
"1017","Smp_080520",3
"1018","Smp_080610",2
"1019","Smp_080700",2
"1020","Smp_080850",3
"1021","Smp_080870",2
"1022","Smp_081140",3
"1023","Smp_081260",3
"1024","Smp_081380",1
"1025","Smp_081470",3
"1026","Smp_081820",2
"1027","Smp_082360",2
"1028","Smp_082560",3
"1029","Smp_082570",3
"1030","Smp_082660",1
"1031","Smp_082670",1
"1032","Smp_082790",1
"1033","Smp_082810",3
"1034","Smp_082820",3
"1035","Smp_082850",3
"1036","Smp_082860",3
"1037","Smp_083120",1
"1038","Smp_083130",1
"1039","Smp_083340",2
"1040","Smp_083380",1
"1041","Smp_083680",3
"1042","Smp_083730",3
"1043","Smp_083740",3
"1044","Smp_083770",1
"1045","Smp_083780",2
"1046","Smp_083930",3
"1047","Smp_083970",2
"1048","Smp_084010",1
"1049","Smp_084060",2
"1050","Smp_084080",2
"1051","Smp_084090",1
"1052","Smp_084140",3
"1053","Smp_084320",3
"1054","Smp_084400",2
"1055","Smp_084520",1
"1056","Smp_084600",2
"1057","Smp_084740",3
"1058","Smp_084830",3
"1059","Smp_084870",2
"1060","Smp_084890",1
"1061","Smp_084900",3
"1062","Smp_085080",3
"1063","Smp_085380",2
"1064","Smp_085410",3
"1065","Smp_085480",3
"1066","Smp_085650",1
"1067","Smp_085680",1
"1068","Smp_085910",3
"1069","Smp_086030",2
"1070","Smp_086060",1
"1071","Smp_086210",2
"1072","Smp_086220",3
"1073","Smp_086330",2
"1074","Smp_086450",1
"1075","Smp_086460",2
"1076","Smp_086630",2
"1077","Smp_086690",3
"1078","Smp_086710",2
"1079","Smp_086750",2
"1080","Smp_086760",1
"1081","Smp_086830",2
"1082","Smp_086860",2
"1083","Smp_086960",2
"1084","Smp_087010",1
"1085","Smp_087220",1
"1086","Smp_087250",3
"1087","Smp_087330",1
"1088","Smp_087440",2
"1089","Smp_087520",1
"1090","Smp_087550",2
"1091","Smp_087580",2
"1092","Smp_087620",2
"1093","Smp_087810",3
"1094","Smp_087860",2
"1095","Smp_088090",1
"1096","Smp_088240",1
"1097","Smp_088250",2
"1098","Smp_088270",1
"1099","Smp_088360",2
"1100","Smp_088390",1
"1101","Smp_088420",2
"1102","Smp_088460",2
"1103","Smp_088550",3
"1104","Smp_088600",2
"1105","Smp_088920",3
"1106","Smp_088940",1
"1107","Smp_088990",2
"1108","Smp_089000",3
"1109","Smp_089100",3
"1110","Smp_089200",1
"1111","Smp_089230",3
"1112","Smp_089290",3
"1113","Smp_089590",2
"1114","Smp_089700",2
"1115","Smp_089860",2
"1116","Smp_089870",2
"1117","Smp_090010",3
"1118","Smp_090030",1
"1119","Smp_090070",1
"1120","Smp_090110",1
"1121","Smp_090140",1
"1122","Smp_090150",1
"1123","Smp_090860",3
"1124","Smp_090980",1
"1125","Smp_091360",2
"1126","Smp_091380",3
"1127","Smp_091640",3
"1128","Smp_091730",2
"1129","Smp_091750",3
"1130","Smp_091790",2
"1131","Smp_091850",2
"1132","Smp_091950",1
"1133","Smp_091990",1
"1134","Smp_092020",2
"1135","Smp_092170",1
"1136","Smp_092180",1
"1137","Smp_092490",2
"1138","Smp_092530",3
"1139","Smp_092570",3
"1140","Smp_092850",3
"1141","Smp_093210",1
"1142","Smp_093220",3
"1143","Smp_093230",2
"1144","Smp_093310",2
"1145","Smp_093320",1
"1146","Smp_093430",3
"1147","Smp_093450",2
"1148","Smp_093580",2
"1149","Smp_093620",2
"1150","Smp_093630",2
"1151","Smp_093740",3
