"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_030400",6,0,0,2,0,6,0,3
"Smp_030500",14,0,16,16,4,30,0,16
"Smp_030690",0,0,2,4,12,8,0,0
"Smp_030710",4,0,0,2,2,2,0,2
"Smp_030730",32,2,32,50,17,60,4,48
"Smp_030780",2,0,0,2,4,2,0,2
"Smp_030830",6,4,0,12,8,10,0,18
"Smp_030860",4,0,2,2,4,0,0,8
"Smp_030920",2,4,10,10,6,10,0,6
"Smp_031040",6,0,2,0,2,0,0,2
"Smp_031050",6,1,0,4,0,2,0,2
"Smp_031300",2,2,0,7,1,8,0,4
"Smp_031310",4,0,4,6,6,2,0,2
"Smp_031360",6,0,0,8,0,5,0,4
"Smp_031570",12,0,8,8,6,22,2,8
"Smp_031720",0,0,2,5,0,2,2,2
"Smp_031770",4,4,1,1,0,0,0,4
"Smp_031880",2,2,4,0,4,2,0,2
"Smp_031920",0,0,0,4,4,4,0,2
"Smp_032180",0,0,0,2,2,13,0,4
"Smp_032260",16,2,2,10,6,14,0,14
"Smp_032280",2,2,0,0,2,4,0,0
"Smp_032320",6,2,4,2,2,4,2,2
"Smp_032490",7,1,2,1,0,1,0,4
"Smp_032510",2,0,0,2,2,8,2,2
"Smp_032520",4,2,2,6,4,4,0,2
"Smp_032580",4,2,2,0,4,12,0,8
"Smp_032670",22,2,10,45,14,48,2,50
"Smp_032760",8,2,8,14,2,22,0,8
"Smp_032790",19,2,5,9,12,12,0,22
"Smp_032800",2,0,2,2,2,0,0,6
"Smp_032810",6,0,2,4,4,11,0,4
"Smp_032930",8,1,0,4,1,0,0,4
"Smp_033020",6,2,3,8,2,4,0,6
"Smp_033050",0,0,2,4,0,2,2,4
"Smp_033260",4,0,0,2,0,2,0,2
"Smp_033400",14,0,4,8,10,9,2,4
"Smp_033530",1,0,2,0,0,6,0,4
"Smp_033590",2,0,2,2,4,0,0,0
"Smp_033700",7,1,1,0,0,0,0,1
"Smp_033710",10,0,0,2,4,2,2,2
"Smp_033760",4,0,2,2,3,7,0,2
"Smp_033950",0,2,0,2,2,4,0,0
"Smp_034000",3,0,1,1,2,6,0,1
"Smp_034120",0,0,2,4,2,6,0,4
"Smp_034190",10,4,0,12,2,6,0,14
"Smp_034490",2,0,10,10,0,8,0,10
"Smp_034700",2,2,2,8,4,10,4,10
"Smp_034840",2,0,0,2,0,9,0,4
"Smp_034850",0,0,0,4,0,4,2,2
"Smp_034860",2,4,1,3,1,4,0,7
"Smp_034940",2,2,4,2,2,0,0,8
"Smp_034980",2,2,0,0,4,5,0,2
"Smp_035030",7,5,3,11,0,6,0,3
"Smp_035200",23,4,10,41,28,79,2,34
"Smp_035260",3,0,2,5,0,4,0,0
"Smp_035370",4,0,2,0,0,2,0,4
"Smp_035410",4,2,2,2,2,0,0,4
"Smp_035470",2,2,4,8,2,2,0,12
"Smp_035480",1,0,0,2,4,0,0,10
"Smp_035540",6,0,10,10,13,7,0,12
"Smp_035580",2,0,0,4,0,2,0,4
"Smp_036020",6,1,2,5,1,4,0,11
"Smp_036130",0,0,0,4,2,8,0,6
"Smp_036220",8,0,4,10,8,26,0,10
"Smp_036270",24,8,4,12,16,24,0,16
"Smp_036370",19,5,17,23,4,26,0,22
"Smp_036390",2,2,4,9,6,10,2,9
"Smp_037120",0,2,2,0,0,4,0,4
"Smp_037190",8,4,4,16,3,9,1,7
"Smp_037230",2,0,0,2,2,4,0,0
"Smp_037290",2,2,0,4,0,2,0,1
"Smp_037590",3,0,0,5,0,2,0,3
"Smp_037690",7,6,0,6,0,0,0,4
"Smp_037700",12,0,6,0,4,14,2,10
"Smp_037910",2,2,2,2,0,4,0,0
"Smp_038080",2,0,2,6,0,7,0,10
